phi : -1.447503  x : 7.927147  y : 0.004628  deg : 141.115096
phi : -0.253028  x : 7.933178  y : 0.004886  deg : 134.317634
phi : 0.704408  x : 7.933167  y : 0.004729  deg : 136.452888
phi : -0.972165  x : 7.937184  y : 0.004818  deg : 131.614364
phi : 1.780975  x : 7.931128  y : 0.004199  deg : 141.261208
phi : -0.730287  x : 7.932113  y : 0.003918  deg : 145.446501
phi : 0.586010  x : 7.935163  y : 0.004598  deg : 136.443998
phi : -1.088644  x : 7.931151  y : 0.004558  deg : 139.462572
phi : 1.061652  x : 7.935150  y : 0.004412  deg : 137.357793
phi : 0.103647  x : 7.935170  y : 0.004693  deg : 135.359936
phi : 1.332778  x : 7.931145  y : 0.004465  deg : 140.539688
phi : 0.822361  x : 7.933123  y : 0.004065  deg : 141.271590
phi : -1.573029  x : 7.935147  y : 0.004372  deg : 137.142951
phi : -1.806248  x : 7.933181  y : 0.004923  deg : 135.286516
phi : -1.685158  x : 7.934147  y : 0.004398  deg : 136.929553
phi : -0.496372  x : 7.938190  y : 0.004846  deg : 132.017038
phi : 1.062439  x : 7.933173  y : 0.004806  deg : 136.636954
phi : 0.344617  x : 7.936153  y : 0.004429  deg : 137.781460
phi : -0.848745  x : 7.935169  y : 0.004683  deg : 135.618298
phi : -0.376460  x : 7.933172  y : 0.004795  deg : 136.645795
phi : -1.093878  x : 7.935178  y : 0.004804  deg : 136.261729
phi : -0.495825  x : 7.935131  y : 0.004132  deg : 138.355135
phi : 0.343831  x : 7.920098  y : 0.003952  deg : 149.168533
phi : 0.941988  x : 7.931141  y : 0.004406  deg : 139.089279
phi : -0.376460  x : 7.933142  y : 0.004352  deg : 135.525473
phi : -3.778222  x : 7.931127  y : 0.004188  deg : 141.520234
phi : -3.831858  x : 7.932093  y : 0.003564  deg : 145.995587
phi : 11.535834  x : 7.927125  y : 0.004275  deg : 142.642811
phi : 8.330906  x : 7.933130  y : 0.004176  deg : 139.926341
phi : 13.572234  x : 7.934113  y : 0.003865  deg : 142.642811
phi : 0.850371  x : 7.935121  y : 0.003967  deg : 140.250886
phi : 0.387770  x : 7.928124  y : 0.004217  deg : 142.892514
phi : 1.794124  x : 7.928135  y : 0.004401  deg : 139.745956
phi : 11.994299  x : 7.932128  y : 0.004173  deg : 140.231393
phi : 14.005531  x : 7.932123  y : 0.004083  deg : 142.307521
phi : 9.701726  x : 7.933118  y : 0.003983  deg : 141.591985
phi : 10.849505  x : 7.929126  y : 0.004221  deg : 141.841985
phi : 8.546383  x : 7.930156  y : 0.004666  deg : 137.928345
phi : 8.789321  x : 7.931121  y : 0.004092  deg : 140.100120
