phi : 89.634577  x : 7.939025  y : 0.001753  deg : 142.852818
phi : 89.624267  x : 7.935025  y : 0.001789  deg : 144.922571
phi : 89.647786  x : 7.937021  y : 0.001627  deg : 147.770400
phi : 89.648056  x : 7.943019  y : 0.001461  deg : 147.781431
phi : 89.646558  x : 7.941024  y : 0.001666  deg : 144.381796
phi : 89.649699  x : 7.939026  y : 0.001769  deg : 142.588568
phi : 89.644711  x : 7.945023  y : 0.001607  deg : 142.576010
phi : 89.649498  x : 7.935020  y : 0.001605  deg : 148.335514
phi : 89.650303  x : 7.935024  y : 0.001761  deg : 145.447335
phi : 89.637175  x : 7.939017  y : 0.001456  deg : 149.882273
phi : 89.640399  x : 7.941027  y : 0.001779  deg : 142.021881
phi : 89.641426  x : 7.938020  y : 0.001580  deg : 147.289674
phi : 89.650790  x : 7.940020  y : 0.001551  deg : 146.768724
phi : 89.506199  x : 7.942020  y : 0.001539  deg : 145.479812
phi : 89.519740  x : 7.936026  y : 0.001824  deg : 143.117047
phi : 89.406883  x : 7.932019  y : 0.001601  deg : 150.400694
phi : 89.339549  x : 7.940021  y : 0.001590  deg : 146.731024
phi : 89.397243  x : 7.941021  y : 0.001561  deg : 145.983662
phi : 89.430598  x : 7.936019  y : 0.001564  deg : 149.099751
phi : 89.399675  x : 7.944025  y : 0.001664  deg : 141.297227
phi : 29.474846  x : 7.935021  y : 0.001657  deg : 147.289674
phi : 89.417131  x : 7.939021  y : 0.001590  deg : 146.506725
phi : 89.401970  x : 7.936023  y : 0.001714  deg : 147.465405
phi : 89.474426  x : 7.940040  y : 0.002203  deg : 146.145625
phi : 55.983130  x : 7.934039  y : 0.002265  deg : 152.533314
phi : -8.629087  x : 7.943068  y : 0.002775  deg : 143.709375
phi : 28.183275  x : 7.939051  y : 0.002503  deg : 148.398363
phi : 39.244271  x : 7.945083  y : 0.003027  deg : 136.094921
phi : 57.484836  x : 7.939072  y : 0.002966  deg : 141.962923
phi : 83.953587  x : 7.938066  y : 0.002851  deg : 144.114147
phi : 83.949754  x : 7.935036  y : 0.002177  deg : 154.080523
phi : 83.913786  x : 7.939061  y : 0.002717  deg : 145.447029
phi : 83.910786  x : 7.935043  y : 0.002365  deg : 151.915223
phi : 83.930679  x : 7.926042  y : 0.002479  deg : 154.080009
phi : 83.924998  x : 7.935046  y : 0.002440  deg : 151.098818
phi : 83.917116  x : 7.939061  y : 0.002721  deg : 145.193283
phi : 83.924893  x : 7.941062  y : 0.002695  deg : 144.632364
phi : 83.919989  x : 7.939056  y : 0.002624  deg : 146.034726
phi : 83.930803  x : 7.935050  y : 0.002546  deg : 149.755160
phi : 83.936593  x : 7.935046  y : 0.002450  deg : 150.839442
phi : 83.924729  x : 7.931040  y : 0.002345  deg : 154.052614
phi : 83.917724  x : 7.931046  y : 0.002526  deg : 152.152391
phi : 83.925636  x : 7.933044  y : 0.002425  deg : 152.176203
phi : 83.904499  x : 7.917035  y : 0.002411  deg : 156.585095
phi : 83.906782  x : 5.599038  y : 0.013432  deg : -0.320525
phi : 83.903218  x : 7.025020  y : 0.006251  deg : -0.367318
phi : 83.922383  x : 7.131024  y : 0.006472  deg : -0.426744
phi : 84.379890  x : 6.918049  y : 0.010264  deg : -0.543515
phi : 12.259032  x : 6.584099  y : 0.016757  deg : -0.678066
phi : 11.472761  x : 6.214201  y : 0.026769  deg : -0.858806
phi : 11.541994  x : 6.369256  y : 0.028888  deg : -1.014860
phi : 11.451621  x : 6.378376  y : 0.034936  deg : -1.234189
phi : 10.179292  x : 6.223600  y : 0.046191  deg : -1.489517
phi : 8.875620  x : 6.018915  y : 0.060209  deg : -1.740780
phi : 8.106214  x : 5.692422  y : 0.081025  deg : -2.010982
phi : 7.536689  x : 7.528049  y : 0.031480  deg : 129.183963
phi : 5.172478  x : 4.904211  y : 0.141047  deg : -2.608653
phi : 4.704384  x : 4.703833  y : 0.159005  deg : -1.761766
phi : 5.472279  x : 7.494138  y : 0.287797  deg : 98.113431
phi : 5.534117  x : 6.304356  y : 0.394806  deg : -1.856967
phi : 6.718592  x : 7.435885  y : 0.359633  deg : 91.231810
phi : 84.264340  x : 7.413997  y : 0.391950  deg : 87.973275
phi : 84.345434  x : 7.259245  y : 0.408654  deg : 101.115717
phi : 84.389647  x : 7.561875  y : 0.485554  deg : 37.060570
phi : 73.025677  x : 6.969299  y : 0.564163  deg : 3.305535
phi : 2.500000  x : 5.884711  y : 0.535423  deg : 2.795598
phi : 10.596537  x : 6.497208  y : 0.312794  deg : 15.242231
phi : 5.616434  x : 3.688276  y : 0.048787  deg : 8.601734
phi : 6.262067  x : 7.541000  y : 0.000000  deg : nan
phi : 45.362725  x : 7.548000  y : 0.000000  deg : 179.749999
phi : 21.684536  x : 7.532000  y : 0.000000  deg : 179.750000
phi : 42.299638  x : 8.000000  y : 0.000000  deg : -nan
phi : 54.692513  x : 3.853793  y : 0.561094  deg : 7.793150
phi : 54.529458  x : 3.951525  y : 0.559840  deg : 6.876830
phi : 57.808260  x : 3.884508  y : 0.556894  deg : 6.543740
phi : 47.169982  x : 4.285466  y : 0.058823  deg : 14.342748
phi : 38.809056  x : 7.533000  y : 0.000000  deg : nan
phi : 48.168665  x : 8.000000  y : 0.000000  deg : -nan
phi : 51.329890  x : 8.000000  y : 0.000000  deg : -nan
phi : 54.410971  x : 8.000000  y : 0.000000  deg : -nan
phi : 53.818638  x : 8.000000  y : 0.000000  deg : -nan
phi : 51.811624  x : 4.332247  y : 0.584284  deg : 7.198672
phi : 54.278644  x : 4.329233  y : 0.621448  deg : 6.141140
phi : 62.486551  x : 4.778561  y : 0.606314  deg : 5.090938
phi : 84.693594  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.699910  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.700007  x : 6.968904  y : 0.100680  deg : 57.173132
phi : 84.713920  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.737532  x : 8.000000  y : 0.000000  deg : -nan
phi : 51.608361  x : 8.000000  y : 0.000000  deg : -nan
phi : 60.206584  x : 8.000000  y : 0.000000  deg : -nan
phi : 55.862594  x : 7.566000  y : 0.000000  deg : nan
phi : 53.466829  x : 7.563000  y : 0.000000  deg : 179.499999
phi : 19.607281  x : 7.562000  y : 0.000000  deg : nan
phi : 44.009991  x : 7.565000  y : 0.000000  deg : nan
phi : 42.379883  x : 8.000000  y : 0.000000  deg : -nan
phi : 33.203746  x : 8.000000  y : 0.000000  deg : -nan
phi : 38.098034  x : 7.534000  y : 0.000000  deg : nan
phi : 43.508801  x : 8.000000  y : 0.000000  deg : -nan
phi : 43.547710  x : 8.000000  y : 0.000000  deg : -nan
phi : 53.967136  x : 8.000000  y : 0.000000  deg : -nan
phi : 48.016153  x : 7.533000  y : 0.000000  deg : nan
phi : 51.467566  x : 7.540000  y : 0.000000  deg : 179.999999
phi : 47.169982  x : 8.000000  y : 0.000000  deg : -nan
phi : 56.235551  x : 7.533000  y : 0.000000  deg : nan
phi : 42.786719  x : 7.528000  y : 0.000000  deg : 179.750000
phi : 40.537108  x : 8.000000  y : 0.000000  deg : -nan
phi : 33.441085  x : 7.517000  y : 0.000000  deg : nan
phi : 52.027105  x : 8.000000  y : 0.000000  deg : -nan
phi : 58.241886  x : 8.000000  y : 0.000000  deg : -nan
phi : 55.813026  x : 7.512000  y : 0.000000  deg : 180.000000
phi : 84.769660  x : 2.881389  y : 0.827069  deg : 6.071436
phi : 84.765942  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.752903  x : 8.000000  y : 0.000000  deg : -nan
phi : -19.915964  x : 8.000000  y : 0.000000  deg : -nan
phi : -8.490760  x : 8.000000  y : 0.000000  deg : -nan
phi : -4.173096  x : 8.000000  y : 0.000000  deg : -nan
phi : 13.539677  x : 8.000000  y : 0.000000  deg : -nan
phi : 14.370040  x : 8.000000  y : 0.000000  deg : -nan
phi : 14.670159  x : 8.000000  y : 0.000000  deg : -nan
phi : 10.416391  x : 8.000000  y : 0.000000  deg : -nan
phi : 13.492594  x : 8.000000  y : 0.000000  deg : -nan
phi : 17.915296  x : 8.000000  y : 0.000000  deg : -nan
phi : 16.366547  x : 8.000000  y : 0.000000  deg : -nan
phi : 18.102097  x : 8.000000  y : 0.000000  deg : -nan
phi : 13.644687  x : 8.000000  y : 0.000000  deg : -nan
phi : 17.061681  x : 8.000000  y : 0.000000  deg : -nan
phi : 25.976739  x : 8.000000  y : 0.000000  deg : -nan
phi : 23.220344  x : 8.000000  y : 0.000000  deg : -nan
phi : 17.107479  x : 8.000000  y : 0.000000  deg : -nan
phi : 12.729986  x : 8.000000  y : 0.000000  deg : -nan
phi : 14.114328  x : 8.000000  y : 0.000000  deg : -nan
phi : 16.799125  x : 8.000000  y : 0.000000  deg : -nan
phi : 20.896339  x : 8.000000  y : 0.000000  deg : -nan
phi : 25.890655  x : 8.000000  y : 0.000000  deg : -nan
phi : 25.849201  x : 8.000000  y : 0.000000  deg : -nan
phi : 35.768736  x : 8.000000  y : 0.000000  deg : -nan
phi : 40.909891  x : 3.147555  y : 0.468406  deg : 2.986325
phi : 50.709248  x : 8.000000  y : 0.000000  deg : -nan
phi : 50.802413  x : 8.000000  y : 0.000000  deg : -nan
phi : 47.044170  x : -1.761756  y : 1.147764  deg : -2.955911
phi : 44.426259  x : 8.000000  y : 0.000000  deg : -nan
